# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow quadratic functions with RNG seeds [700..799].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, and the extended versions of Fed-LBAP, FedAvg, and
# Proportional.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - All resources have a lower limit of 4, except the resource with the
# highest cost for the number of tasks. That resource gets a minimum of
# (tasks/resources)/4.
# - All resources have an upper limit of 2*(tasks/resources), except the
# resource with the lowest cost for the number of tasks. That resource
# gets an upper limit of (tasks/resources)/2.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Proportional-(tasks),7700,10,5334620.022186939
FedAvg,7700,10,5926925.498016738
Fed-LBAP,7700,10,2942788.502856269
OLAR,7700,10,2942788.502856269
Proportional-(1),7800,10,6253739.895700127
Proportional-(tasks/res),7800,10,5463942.180514364
Proportional-(tasks),7800,10,5471172.157236711
FedAvg,7800,10,6088529.212515309
Fed-LBAP,7800,10,3020935.5106505672
OLAR,7800,10,3020935.5106505672
Proportional-(1),7900,10,6425218.062437122
Proportional-(tasks/res),7900,10,5609449.962377767
Proportional-(tasks),7900,10,5616775.544091321
FedAvg,7900,10,6237327.874972983
Fed-LBAP,7900,10,3098332.7849116833
OLAR,7900,10,3098332.7849116833
Proportional-(1),8000,10,6584443.809294346
Proportional-(tasks/res),8000,10,5749453.437610106
Proportional-(tasks),8000,10,5756869.844065306
FedAvg,8000,10,6403081.21788129
Fed-LBAP,8000,10,3177658.673607585
OLAR,8000,10,3177658.673607585
Proportional-(1),8100,10,6745618.399702128
Proportional-(tasks/res),8100,10,5898689.814130576
Proportional-(tasks),8100,10,5898689.814130576
FedAvg,8100,10,6571008.175670889
Fed-LBAP,8100,10,3258095.849116432
OLAR,8100,10,3258095.849116432
Proportional-(1),8200,10,6908741.833660468
Proportional-(tasks/res),8200,10,6042235.4542871285
Proportional-(tasks),8200,10,6049838.290475182
FedAvg,8200,10,6725555.241120404
Fed-LBAP,8200,10,3337641.7218132117
OLAR,8200,10,3337641.7218132117
Proportional-(1),8300,10,7073814.111169367
Proportional-(tasks/res),8300,10,6187506.764534965
Proportional-(tasks),8300,10,6195200.4254646655
FedAvg,8300,10,6897631.8273197375
Fed-LBAP,8300,10,3420909.6899475195
OLAR,8300,10,3420909.6899475195
Proportional-(1),8400,10,7256115.607377233
Proportional-(tasks/res),8400,10,6342288.230545432
Proportional-(tasks),8400,10,6342288.230545432
FedAvg,8400,10,7055951.282232648
Fed-LBAP,8400,10,3502962.68123904
OLAR,8400,10,3502962.68123904
Proportional-(1),8500,10,7425262.739582755
Proportional-(tasks/res),8500,10,6491101.705717483
Proportional-(tasks),8500,10,6498981.7963800365
FedAvg,8500,10,7232177.4968417175
Fed-LBAP,8500,10,3585762.9108805778
OLAR,8500,10,3585762.9108805778
Proportional-(1),8600,10,7596358.715338835
Proportional-(tasks/res),8600,10,6641640.850980816
Proportional-(tasks),8600,10,6649611.766385016
FedAvg,8600,10,7394269.3412180245
Fed-LBAP,8600,10,3671052.495659398
OLAR,8600,10,3671052.495659398
Proportional-(1),8700,10,7785231.518725444
Proportional-(tasks/res),8700,10,6801967.406481281
Proportional-(tasks),8700,10,6801967.406481281
FedAvg,8700,10,7574645.18423683
Fed-LBAP,8700,10,3758321.104209475
OLAR,8700,10,3758321.104209475
Proportional-(1),8800,10,7960402.349178146
Proportional-(tasks/res),8800,10,6956048.716668829
Proportional-(tasks),8800,10,6964206.0618058825
FedAvg,8800,10,7740509.418076533
Fed-LBAP,8800,10,3843743.9101916444
OLAR,8800,10,3843743.9101916444
Proportional-(1),8900,10,8137522.023181407
Proportional-(tasks/res),8900,10,7120103.86682636
Proportional-(tasks),8900,10,7120103.86682636
FedAvg,8900,10,7925034.889505075
Fed-LBAP,8900,10,3931278.045145798
OLAR,8900,10,3931278.045145798
Proportional-(1),9000,10,8332966.133746757
Proportional-(tasks/res),9000,10,7277727.341938121
Proportional-(tasks),9000,10,7286071.116808028
FedAvg,9000,10,8111733.975814907
Fed-LBAP,9000,10,4020494.58000094
OLAR,9000,10,4020494.58000094
Proportional-(1),9100,10,8514160.662446639
Proportional-(tasks/res),9100,10,7437076.487141167
Proportional-(tasks),9100,10,7445511.08675272
FedAvg,9100,10,8283346.612646451
Fed-LBAP,9100,10,4110277.049593094
OLAR,9100,10,4110277.049593094
Proportional-(1),9200,10,8697304.034697082
Proportional-(tasks/res),9200,10,7606676.726788696
Proportional-(tasks),9200,10,7615206.931391456
FedAvg,9200,10,8474195.327366019
Fed-LBAP,9200,10,4200609.175261936
OLAR,9200,10,4200609.175261936
Proportional-(1),9300,10,8899319.452441175
Proportional-(tasks/res),9300,10,7769568.036915954
Proportional-(tasks),9300,10,7778189.066260361
FedAvg,9300,10,8649580.35366096
Fed-LBAP,9300,10,4292743.220697597
OLAR,9300,10,4292743.220697597
Proportional-(1),9400,10,9086537.679388238
Proportional-(tasks/res),9400,10,7942896.8712205505
Proportional-(tasks),9400,10,7942896.8712205505
FedAvg,9400,10,8844578.696790263
Fed-LBAP,9400,10,4386588.2810442895
OLAR,9400,10,4386588.2810442895
Proportional-(1),9500,10,9275704.749885859
