# Description of the experiment:
#
# - We generate the costs to up to 10.000 tasks for 10 and 100 resources.
# All costs follow linear functions with RNG seeds [100..199].
# - We schedule from 1.000 to 10.000 tasks in increments of 100.
# - We run OLAR, Fed-LBAP, FedAvg, Random, and Proportional.
# -- For Random, we generate three different results using three
# starting RNG seeds (4000, 5000, 6000). We increment the starting RNG seed
# each time we change the number of tasks.
# -- For Proportional, we generate three different results using
# three different values for k (1, #tasks/#resources, #tasks)
# - We use no lower or upper limits.
# - Every result is verified and logged to a CSV file.
Scheduler,Tasks,Resources,Makespan
Random-(seed:6000),6200,10,6098.517774105902
Proportional-(1),6200,10,4421.495469795854
Proportional-(tasks/res),6200,10,2280.305300995953
Proportional-(tasks),6200,10,2275.9706519202273
FedAvg,6200,10,5946.1083189758165
Fed-LBAP,6200,10,2270.6362698354096
OLAR,6200,10,2270.6362698354096
Random-(seed:4000),6300,10,4233.357293818657
Random-(seed:5000),6300,10,9244.641778836869
Random-(seed:6000),6300,10,9973.387543224775
Proportional-(1),6300,10,4488.6167902000025
Proportional-(tasks/res),6300,10,2315.7247116927056
Proportional-(tasks),6300,10,2312.786701611107
FedAvg,6300,10,6041.995919553172
Fed-LBAP,6300,10,2307.802434339225
OLAR,6300,10,2307.802434339225
Random-(seed:4000),6400,10,6070.76219972638
Random-(seed:5000),6400,10,7863.860330522939
Random-(seed:6000),6400,10,7384.422327636158
Proportional-(1),6400,10,4555.738110604152
Proportional-(tasks/res),6400,10,2351.1441223894585
Proportional-(tasks),6400,10,2351.1441223894585
FedAvg,6400,10,6137.883520130528
Fed-LBAP,6400,10,2343.942063194177
OLAR,6400,10,2343.942063194177
Random-(seed:4000),6500,10,7530.529294935843
Random-(seed:5000),6500,10,7218.808178981357
Random-(seed:6000),6500,10,7298.123487116538
Proportional-(1),6500,10,4632.448191066037
Proportional-(tasks/res),6500,10,2386.5635330862115
Proportional-(tasks),6500,10,2386.5635330862115
FedAvg,6500,10,6233.771120707885
Fed-LBAP,6500,10,2380.231066980673
OLAR,6500,10,2380.231066980673
Random-(seed:4000),6600,10,7784.481723271335
Random-(seed:5000),6600,10,7884.282221497546
Random-(seed:6000),6600,10,10989.79610934475
Proportional-(1),6600,10,4699.569511470187
Proportional-(tasks/res),6600,10,2423.2348506837457
Proportional-(tasks),6600,10,2423.2348506837457
FedAvg,6600,10,6329.658721285241
Fed-LBAP,6600,10,2417.44461772911
OLAR,6600,10,2417.44461772911
Random-(seed:4000),6700,10,7767.972729945583
Random-(seed:5000),6700,10,8180.289412428215
Random-(seed:6000),6700,10,7569.494434430154
Proportional-(1),6700,10,4776.2795919320715
Proportional-(tasks/res),6700,10,2460.050900374625
Proportional-(tasks),6700,10,2460.050900374625
FedAvg,6700,10,6425.546321862597
Fed-LBAP,6700,10,2453.914892092812
OLAR,6700,10,2453.914892092812
Random-(seed:4000),6800,10,8082.004773124058
Random-(seed:5000),6800,10,5857.665781367984
Random-(seed:6000),6800,10,8880.268896642916
Proportional-(1),6800,10,4843.40091233622
Proportional-(tasks/res),6800,10,2499.9056473158203
Proportional-(tasks),6800,10,2492.8217651764694
FedAvg,6800,10,6521.433922439953
Fed-LBAP,6800,10,2490.6523738386204
OLAR,6800,10,2490.6523738386204
Random-(seed:4000),6900,10,11239.103870845876
Random-(seed:5000),6900,10,5504.342041231684
Random-(seed:6000),6900,10,8348.797224316368
Proportional-(1),6900,10,4920.110992798105
Proportional-(tasks/res),6900,10,2535.3250580125728
Proportional-(tasks),6900,10,2529.724259883918
FedAvg,6900,10,6617.321523017309
Fed-LBAP,6900,10,2526.735894303314
OLAR,6900,10,2526.735894303314
Random-(seed:4000),7000,10,7444.805988048359
Random-(seed:5000),7000,10,8189.87817248595
Random-(seed:6000),7000,10,7812.817251828737
Proportional-(1),7000,10,4987.232313202255
Proportional-(tasks/res),7000,10,2570.7444687093257
Proportional-(tasks),7000,10,2570.7444687093257
FedAvg,7000,10,6713.2091235946655
Fed-LBAP,7000,10,2563.1527111304167
OLAR,7000,10,2563.1527111304167
Random-(seed:4000),7100,10,9580.248380857614
Random-(seed:5000),7100,10,10682.95578749721
Random-(seed:6000),7100,10,7681.793948197708
Proportional-(1),7100,10,5054.353633606404
Proportional-(tasks/res),7100,10,2607.3150991381435
Proportional-(tasks),7100,10,2606.1638794060786
FedAvg,7100,10,6809.096724172022
Fed-LBAP,7100,10,2599.6310588260867
OLAR,7100,10,2599.6310588260867
Random-(seed:4000),7200,10,8580.009454979527
Random-(seed:5000),7200,10,5765.575313556426
Random-(seed:6000),7200,10,7723.201107706156
Proportional-(1),7200,10,5131.063714068289
Proportional-(tasks/res),7200,10,2644.131148829023
Proportional-(tasks),7200,10,2641.583290102831
FedAvg,7200,10,6904.984324749377
Fed-LBAP,7200,10,2636.5077744504124
OLAR,7200,10,2636.5077744504124
Random-(seed:4000),7300,10,6492.216963205807
Random-(seed:5000),7300,10,11248.692630903612
Random-(seed:6000),7300,10,10625.423227150797
Proportional-(1),7300,10,5198.185034472438
Proportional-(tasks/res),7300,10,2680.9471985199025
Proportional-(tasks),7300,10,2677.002700799584
FedAvg,7300,10,7000.871925326734
Fed-LBAP,7300,10,2673.149753440469
OLAR,7300,10,2673.149753440469
Random-(seed:4000),7400,10,9194.174269002096
